ID,Title,Highlights Supported?,Fully Optimized?,Steam Url,Publisher,Genre,Status
100031911,7 Days to Die,N,Y,https://store.steampowered.com/app/251570,The Fun Pimps Entertainment LLC,Action,1
100251911,A Plague Tale: Innocence,N,N,https://store.steampowered.com/app/752590,Focus Home Interactive,Action,1
100129011,Absolver,Y,N,https://store.steampowered.com/app/473690,Devolver Digital,Action,1
100184111,ACE COMBAT™ 7: SKIES UNKNOWN,N,N,https://store.steampowered.com/app/502500,BANDAI NAMCO Studio Inc.,Simulation,1
100350211,Age of Wonders III,N,N,https://store.steampowered.com/app/226840,Paradox Interactive,Strategy,1
100361111,Age of Wonders: Planetfall,N,N,https://store.steampowered.com/app/718850,Paradox Interactive,Strategy,1
100365811,AI: The Somnium Files,N,N,https://store.steampowered.com/app/948740,"Spike Chunsoft Co., Ltd.",Adventure,1
18107911,Aion™,N,N,,NCSOFT,Action,1
100005211,Albino Lullaby: Episode 1,N,N,https://store.steampowered.com/app/355860,Ape Law,Indie,1
100334011,Albion Online,N,N,https://store.steampowered.com/app/761890,Sandbox Interactive GmbH,Role Playing,1
100313411,Amazing Cultivation Simulator / 了不起的修仙模拟器,N,N,https://store.steampowered.com/app/955900,Gamera Game,Simulation,1
17948311,American Truck Simulator,N,N,https://store.steampowered.com/app/270880,SCS Software,Indie,1
100220311,Ancestors Legacy,N,N,https://store.steampowered.com/app/620590,1C Company,Strategy,1
100261311,Anno 1800™,N,N,,Ubisoft,Simulation,1
100331611,Anno 1800™,N,N,,,Strategy,1
100261411,Anno 1800™,N,N,https://store.steampowered.com/app/916440,Ubisoft,Simulation,1
100227611,AO International Tennis,N,N,https://store.steampowered.com/app/758410,Big Ant Studios,Sports,1
100272911,Apex Legends™,N,Y,,Electronic Arts Inc.,Massively Multiplayer Online,1
16032111,Apollo 11 Lunar Landing Demo,N,N,,NVIDIA,Simulation,1
100079511,Argo,N,Y,https://store.steampowered.com/app/530700,Bohemia Interactive,Action,1
18541011,ARK: Survival Evolved,Y,Y,https://store.steampowered.com/app/346110,Studio Wildcard,Massively Multiplayer OnlineRole Playing,1
100136611,ARK: Survival Of The Fittest,N,N,https://store.steampowered.com/app/407530,Studio Wildcard,Strategy,1
100042611,Arma 3,N,Y,https://store.steampowered.com/app/107410,Bohemia Interactive,First-Person Shooter,1
100238911,Armello,N,N,https://store.steampowered.com/app/290340,League of Geeks,Adventure,1
17948511,Armored Warfare,N,N,,My.com,Massively Multiplayer Online,1
100271411,Artifact,N,N,https://store.steampowered.com/app/583950,Valve,Casual,1
100320911,Assassin’s Creed® III Remastered,N,N,,Ubisoft,Adventure,1
100166611,Assassin’s Creed® IV Black Flag™,N,Y,https://store.steampowered.com/app/242050,Ubisoft,Adventure,1
11786111,Assassin’s Creed® IV Black Flag™,N,Y,,Ubisoft,Adventure,1
100225411,Assassin’s Creed® Odyssey,N,Y,https://store.steampowered.com/app/812140,Ubisoft,Adventure,1
100225311,Assassin’s Creed® Odyssey,N,Y,,Ubisoft,Adventure,1
100152711,Assassin’s Creed® Origins,N,Y,,Ubisoft,Adventure,1
100143211,Assassin’s Creed® Origins,N,N,https://store.steampowered.com/app/582160,Ubisoft,Adventure,1
100182811,Assassin’s Creed® Unity,N,N,https://store.steampowered.com/app/289650,Ubisoft,Adventure,1
17935011,Assassin’s Creed® Unity,N,Y,,Ubisoft,Adventure,1
100163011,Assassin’s Creed®: Syndicate,N,Y,https://store.steampowered.com/app/368500,Ubisoft,Adventure,1
17934911,Assassin’s Creed®: Syndicate,N,Y,,Ubisoft,Adventure,1
18293911,Assetto Corsa,N,N,https://store.steampowered.com/app/244210,Kunos Simulazioni,Racing,1
100214511,Assetto Corsa Competizione,N,N,https://store.steampowered.com/app/805550,505 Games,Racing,1
100489511,Asterix & Obelix XXL 3 - The Crystal Menhir,N,N,https://store.steampowered.com/app/1109690,Microids,Adventure,1
100202811,ASTRONEER,N,N,https://store.steampowered.com/app/361420,System Era Softworks,Indie,1
100250311,ATLAS,N,Y,https://store.steampowered.com/app/834910,Grapeshot Games,Massively Multiplayer Online,1
100164511,ATOM RPG,Y,N,https://store.steampowered.com/app/552620,AtomTeam,Role Playing,1
100139611,ATOMEGA™,N,N,https://store.steampowered.com/app/619880,Ubisoft,Action,1
100543011,AVICII Invector,N,N,https://store.steampowered.com/app/986800,Wired Productions,Casual,1
100127111,Batman™: Arkham Asylum Game of the Year Edition,N,N,https://store.steampowered.com/app/35140,Warner Bros. Interactive Entertainment,Action,1
100140711,Batman™: Arkham City - Game of the Year Edition,N,Y,https://store.steampowered.com/app/200260,Warner Bros. Interactive Entertainment,Action,1
100004411,Batman™: Arkham Knight,N,N,https://store.steampowered.com/app/208650,Warner Bros. Interactive Entertainment,Action,1
100195011,Batman™: Arkham Origins,N,N,https://store.steampowered.com/app/209000,Warner Bros. Interactive Entertainment,Action,1
100230611,Battlefleet Gothic: Armada 2,N,N,https://store.steampowered.com/app/573100,Focus Home Interactive,Strategy,1
100045411,Battlerite,N,N,https://store.steampowered.com/app/504370,Stunlock Studios,Action,1
100264211,Battlerite Royale,N,N,https://store.steampowered.com/app/879160,Stunlock Studios,Massively Multiplayer Online,1
100189611,Battletech,N,N,https://store.steampowered.com/app/637090,Paradox Interactive AB,Strategy,1
100163111,BeamNG.drive,N,N,https://store.steampowered.com/app/284160,BeamNG,Racing,1
100358211,Bear With Me: The Lost Robots,N,N,https://store.steampowered.com/app/1050000,Modus Games,Casual,1
100154811,Besiege,N,N,https://store.steampowered.com/app/346010,Spiderling Studios,Simulation,1
17935611,BioShock Infinite,N,N,https://store.steampowered.com/app/8870,2K Games,Role Playing,1
100196511,BioShock™ 2 Remastered,N,Y,https://store.steampowered.com/app/409720,2K Games,First-Person Shooter,1
100042811,BioShock™ Remastered,N,Y,https://store.steampowered.com/app/409710,2K Games,First-Person Shooter,1
17948611,Black Desert Online,N,Y,https://store.steampowered.com/app/582660,Kakao Games Europe B.V.,Massively Multiplayer Online,1
100407611,Black Future '88,N,N,https://store.steampowered.com/app/751820,Good Shepherd Entertainment,Indie,1
100134211,Black Squad,N,N,https://store.steampowered.com/app/550650,Neowiz Games,First-Person Shooter,1
100500611,BLACKSAD: Under the Skin,N,N,https://store.steampowered.com/app/1003890,Microids,Puzzle,1
100103011,Blackwake,N,N,https://store.steampowered.com/app/420290,Mastfire Studios Pty Ltd,Strategy,1
100358811,Blair Witch,N,N,https://store.steampowered.com/app/1092660,Bloober Team NA,Adventure,1
100219811,BlazBlue: Cross Tag Battle,N,N,https://store.steampowered.com/app/702890,Arc System Works,Action,1
100031511,Blizzard® Battle.net®,N,Y,,Blizzard Entertainment,Platform,1
100044511,Borderlands 2,N,Y,https://store.steampowered.com/app/49520,2K Games,Action,1
100152411,Borderlands 3,N,Y,,2K,Action,1
100330411,Borderlands Game of the Year Enhanced,N,N,https://store.steampowered.com/app/729040,2K,Action,1
18108411,Borderlands: The Pre-Sequel,N,N,https://store.steampowered.com/app/261640,2K Games,Action,1
100005111,Brawlhalla,N,Y,https://store.steampowered.com/app/291550,Ubisoft,Action,1
100369211,Brothers: A Tale of Two Sons,N,Y,https://store.steampowered.com/app/225080,505 Games,Puzzle,1
100218311,Call of Cthulhu®,N,N,https://store.steampowered.com/app/399810,Focus Home Interactive,Role Playing,1
100047411,Call of Duty: World at War,N,N,https://store.steampowered.com/app/10090,Activision,First-Person Shooter,1
